culmen_length_mm,flipper_length_mm,body_mass_g,culmen_depth_mm,island,sex
39.1,181,3750,18.7,2,2
39.5,186,3800,17.4,2,1
40.3,195,3250,18.0,2,1
36.7,193,3450,19.3,2,1
39.3,190,3650,20.6,2,2
38.9,181,3625,17.8,2,1
39.2,195,4675,19.6,2,2
34.1,193,3475,18.1,2,3
42.0,190,4250,20.2,2,3
37.8,186,3300,17.1,2,3
37.8,180,3700,17.3,2,3
41.1,182,3200,17.6,2,1
38.6,191,3800,21.2,2,2
34.6,198,4400,21.1,2,2
36.6,185,3700,17.8,2,1
38.7,195,3450,19.0,2,1
42.5,197,4500,20.7,2,2
34.4,184,3325,18.4,2,1
46.0,194,4200,21.5,2,2
37.8,174,3400,18.3,0,1
37.7,180,3600,18.7,0,2
35.9,189,3800,19.2,0,1
38.2,185,3950,18.1,0,2
38.8,180,3800,17.2,0,2
35.3,187,3800,18.9,0,1
40.6,183,3550,18.6,0,2
40.5,187,3200,17.9,0,1
37.9,172,3150,18.6,0,1
40.5,180,3950,18.9,0,2
39.5,178,3250,16.7,1,1
37.2,178,3900,18.1,1,2
39.5,188,3300,17.8,1,1
40.9,184,3900,18.9,1,2
36.4,195,3325,17.0,1,1
39.2,196,4150,21.1,1,2
38.8,190,3950,20.0,1,2
42.2,180,3550,18.5,1,1
37.6,181,3300,19.3,1,1
39.8,184,4650,19.1,1,2
36.5,182,3150,18.0,1,1
40.8,195,3900,18.4,1,2
36.0,186,3100,18.5,1,1
44.1,196,4400,19.7,1,2
37.0,185,3000,16.9,1,1
39.6,190,4600,18.8,1,2
41.1,182,3425,19.0,1,2
37.5,179,2975,18.9,1,3
36.0,190,3450,17.9,1,1
42.3,191,4150,21.2,1,2
39.6,186,3500,17.7,0,1
40.1,188,4300,18.9,0,2
35.0,190,3450,17.9,0,1
42.0,200,4050,19.5,0,2
34.5,187,2900,18.1,0,1
41.4,191,3700,18.6,0,2
39.0,186,3550,17.5,0,1
40.6,193,3800,18.8,0,2
36.5,181,2850,16.6,0,1
37.6,194,3750,19.1,0,2
35.7,185,3150,16.9,0,1
41.3,195,4400,21.1,0,2
37.6,185,3600,17.0,0,1
41.1,192,4050,18.2,0,2
